Fasta headers	Protein IDs	Majority protein IDs	Norm_abundance_PAD4_rep1	Norm_abundance_PAD4_rep2	Norm_abundance_PAD4_rep3	Norm_abundance_PAD4_rep4	Norm_abundance_YFP_rep1	Norm_abundance_YFP_rep2	Norm_abundance_YFP_rep3	Norm_abundance_YFP_rep4	log2_PAD4_vs_YFP	pval_PAD4_vs_YFP
"AT1G02280.2 | Symbols: TOC33, ATTOC33, PPI1 | translocon at the outer envelope membrane of chloroplasts 33 | chr1:448665-450246 REVERSE LENGTH=297;AT1G02280.1 | Symbols: TOC33, ATTOC33, PPI1 | translocon at the outer envelope membrane of chloroplasts 33 |"	AT1G02280.2;AT1G02280.1	AT1G02280.2;AT1G02280.1	24.40347	24.49741	23.65578	23.58967	22.73754	21.34635	22.32924	21.64966	2.020885944	0.002247755
"AT1G02500.2 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393;AT1G02500.1 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393"	AT1G02500.2;AT1G02500.1	AT1G02500.2;AT1G02500.1	27.12347	26.72936	26.91502	27.62916	27.11674	26.56394	25.91759	26.79414	0.501147747	0.167637544
"AT1G02560.1 | Symbols: CLPP5, NCLPP5, NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298"	AT1G02560.1	AT1G02560.1	27.06836	26.87479	26.74599	26.38309	27.53527	26.60611	26.10219	27.31553	-0.121720791	0.746305278
AT1G02780.1 | Symbols: emb2386 | Ribosomal protein L19e family protein | chr1:608120-609391 REVERSE LENGTH=214	AT1G02780.1	AT1G02780.1	21.73285	22.69878	22.57556	22.74932	23.61997	21.87286	21.62689	22.90095	-0.066042423	0.90318812
"AT1G02920.1 | Symbols: ATGSTF7, GST11, ATGSTF8, GSTF7, ATGST11 | glutathione S-transferase 7 | chr1:658886-659705 REVERSE LENGTH=209"	AT1G02920.1	AT1G02920.1	27.70425	27.77511	28.18277	27.34765	27.55355	27.7415	26.87783	26.84014	0.4991889	0.133213829
"AT1G02930.2 | Symbols: GSTF6 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208;AT1G02930.1 | Symbols: ATGSTF6, GST1, ERD11, ATGSTF3, GSTF6, ATGST1 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208"	AT1G02930.2;AT1G02930.1	AT1G02930.2;AT1G02930.1	25.89726	26.4241	26.67398	25.87584	27.32285	26.3729	25.28376	26.73363	-0.210494041	0.671461414
AT1G03080.1 | Symbols:  | kinase interacting (KIP1-like) family protein | chr1:731794-737332 REVERSE LENGTH=1733	AT1G03080.1	AT1G03080.1	18.45809	19.31731	20.55054	19.15086	20.47627	19.84999	20.31107	20.13185	-0.823091984	0.120887279
AT1G03400.1 | Symbols:  | 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr1:842895-844158 REVERSE LENGTH=351	AT1G03400.1	AT1G03400.1	23.75205	23.21812	23.57519	23.43632	19.31617	19.92789	20.74366	20.52161	3.368090153	6.09E-05
"AT1G03475.1 | Symbols: LIN2, HEMF1, ATCPO-I | Coproporphyrinogen III oxidase | chr1:869302-871175 REVERSE LENGTH=386"	AT1G03475.1;AT4G03205.1;AT4G03205.2	AT1G03475.1	27.4512	27.79309	27.07184	27.26767	27.15325	26.89862	25.67624	25.66294	1.048186779	0.048210315
"AT1G03630.2 | Symbols: POR C, PORC | protochlorophyllide oxidoreductase C | chr1:907699-909245 FORWARD LENGTH=399;AT1G03630.1 | Symbols: POR C, PORC | protochlorophyllide oxidoreductase C | chr1:907699-909245 FORWARD LENGTH=401"	AT1G03630.2;AT1G03630.1	AT1G03630.2;AT1G03630.1	26.39403	26.64966	26.18767	26.74008	25.82854	25.41064	24.7497	25.89069	1.022967339	0.012597894
"AT1G03680.1 | Symbols: ATHM1, TRX-M1, ATM1, THM1 | thioredoxin M-type 1 | chr1:916990-917865 REVERSE LENGTH=179"	AT1G03680.1	AT1G03680.1	22.80737	22.5682	22.59987	22.73347	23.9859	23.61201	24.34564	24.31886	-1.388371468	0.000255851
"AT1G03860.3 | Symbols: ATPHB2, PHB2 | prohibitin 2 | chr1:979611-981157 REVERSE LENGTH=286;AT1G03860.1 | Symbols: ATPHB2, PHB2 | prohibitin 2 | chr1:979611-981157 REVERSE LENGTH=286;AT1G03860.2 | Symbols: ATPHB2, PHB2 | prohibitin 2 | chr1:979611-980870 RE"	AT1G03860.3;AT1G03860.1;AT1G03860.2;AT4G28510.1	AT1G03860.3;AT1G03860.1;AT1G03860.2	23.76061	23.72557	23.15869	23.52456	21.20407	19.20505	19.62742	20.51143	3.405367374	0.000345631
AT1G04080.2 | Symbols: PRP39 | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:1053171-1056550 FORWARD LENGTH=582;AT1G04080.1 | Symbols: PRP39 | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:1051803-1056550 FORWARD LENGTH=76	AT1G04080.2;AT1G04080.1;AT1G04080.3	AT1G04080.2;AT1G04080.1;AT1G04080.3	21.84203	20.35528	18.98536	19.34048	21.64948	21.55754	22.306	23.3652	-2.088765621	0.033954903
AT1G04170.1 | Symbols: EIF2 GAMMA | eukaryotic translation initiation factor 2 gamma subunit | chr1:1097423-1099702 FORWARD LENGTH=465	AT1G04170.1;AT4G18330.1;AT2G18720.1;AT4G18330.2	AT1G04170.1	22.92646	22.70217	22.47961	22.41005	20.76055	19.89608	20.23189	20.91301	2.17918539	0.000166957
AT1G04270.2 | Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=151;AT5G09510.1 | Symbols:  | Ribosomal protein S19 family protein | chr5:2955698-2956554 REVERSE LENGTH=152;AT1G04270.1 | Symbols: RPS15 | cytosolic ribos	AT1G04270.2;AT5G09510.1;AT1G04270.1;AT5G09510.2;AT5G43640.1;AT5G09500.1	AT1G04270.2;AT5G09510.1;AT1G04270.1;AT5G09510.2;AT5G43640.1;AT5G09500.1	23.85833	24.29214	24.09628	23.94244	25.04001	24.08805	24.01018	25.15012	-0.524791718	0.14978965
AT1G04410.1 | Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332	AT1G04410.1;AT5G43330.1;AT5G56720.1	AT1G04410.1	28.53823	28.87801	28.42462	28.54245	29.22956	28.97186	29.24445	29.01494	-0.519376278	0.005121413
AT1G04430.2 | Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:1198860-1201301 FORWARD LENGTH=623;AT1G04430.1 | Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:1198860-1	AT1G04430.2;AT1G04430.1	AT1G04430.2;AT1G04430.1	20.62507	21.0353	20.76231	18.86959	20.47533	20.47312	22.02626	20.29482	-0.494317532	0.467428115
AT1G04530.1 | Symbols: TPR4 | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:1234456-1235895 REVERSE LENGTH=310	AT1G04530.1	AT1G04530.1	26.73376	26.88716	26.57658	26.87173	24.20948	24.88893	24.48977	24.67982	2.20031023	9.70E-06
"AT1G04690.1 | Symbols: KAB1, KV-BETA1 | potassium channel beta subunit 1 | chr1:1313662-1315420 FORWARD LENGTH=328"	AT1G04690.1	AT1G04690.1	23.86552	23.67702	23.48861	22.92272	33.87994	33.66713	35.14106	35.06816	-10.95060205	2.67E-07
"AT1G05010.1 | Symbols: EFE, ACO4, EAT1 | ethylene-forming enzyme | chr1:1431419-1432695 REVERSE LENGTH=323"	AT1G05010.1	AT1G05010.1	22.00316	21.6309	21.51465	21.24702	18.76728	19.73228	19.47559	21.98639	1.608549118	0.065009723
AT1G05140.1 | Symbols:  | Peptidase M50 family protein | chr1:1482681-1484006 FORWARD LENGTH=441	AT1G05140.1	AT1G05140.1	21.12041	19.35827	21.49926	21.46653	20.50735	18.35081	19.9011	20.03542	1.162446976	0.143357779
AT1G05150.1 | Symbols:  | Calcium-binding tetratricopeptide family protein | chr1:1484280-1486706 REVERSE LENGTH=808	AT1G05150.1	AT1G05150.1	24.54475	24.34238	24.25918	24.44462	20.18112	19.7726	20.99621	19.38253	4.314620018	1.76E-05
AT1G05190.1 | Symbols: emb2394 | Ribosomal protein L6 family | chr1:1502515-1503738 REVERSE LENGTH=223	AT1G05190.1	AT1G05190.1	25.39787	25.15738	25.19483	25.75529	25.54457	24.87065	25.33412	25.61815	0.034469604	0.878939785
AT1G05350.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:1560891-1564005 REVERSE LENGTH=431	AT1G05350.1	AT1G05350.1	21.66014	21.45488	20.80735	19.03637	18.6151	20.80556	20.32603	21.68834	0.380926132	0.679925356
AT1G05805.1 | Symbols:  | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr1:1744843-1747427 FORWARD LENGTH=362	AT1G05805.1	AT1G05805.1	19.41509	20.47507	20.36185	20.02445	21.32297	21.08558	20.21812	20.83349	-0.795924187	0.055830288
AT1G06000.1 | Symbols:  | UDP-Glycosyltransferase superfamily protein | chr1:1820495-1821802 REVERSE LENGTH=435	AT1G06000.1	AT1G06000.1	22.89036	22.87198	23.35326	22.60125	22.43025	22.76298	21.81691	21.93962	0.691771507	0.042472344
AT1G06190.2 | Symbols:  | Rho termination factor | chr1:1892589-1894078 REVERSE LENGTH=292;AT1G06190.1 | Symbols:  | Rho termination factor | chr1:1892467-1894078 REVERSE LENGTH=401	AT1G06190.2;AT1G06190.1	AT1G06190.2;AT1G06190.1	20.19256	19.97547	21.14215	20.93905	21.08372	19.85172	19.19159	21.27545	0.211686611	0.724632704
"AT1G06290.1 | Symbols: ACX3, ATACX3 | acyl-CoA oxidase 3 | chr1:1922423-1926002 FORWARD LENGTH=675"	AT1G06290.1;AT3G06690.1;AT1G06310.1	AT1G06290.1	22.95846	22.52626	22.2986	23.05686	22.80778	24.07586	23.2535	19.5055	0.299386501	0.778854355
"AT1G06410.1 | Symbols: ATTPS7, TPS7, ATTPSA | trehalose-phosphatase/synthase 7 | chr1:1955413-1958153 FORWARD LENGTH=851"	AT1G06410.1	AT1G06410.1	24.81787	25.04847	24.86651	24.83132	19.91048	23.07374	20.46922	23.14213	3.242153645	0.008905291
AT1G06430.1 | Symbols: FTSH8 | FTSH protease 8 | chr1:1960214-1962525 REVERSE LENGTH=685	AT1G06430.1	AT1G06430.1	25.41896	25.40471	25.34306	24.69684	20.82841	22.80284	22.43074	23.8754	2.731546402	0.005865056
AT1G06530.1 | Symbols:  | Tropomyosin-related | chr1:2001625-2002596 FORWARD LENGTH=323	AT1G06530.1	AT1G06530.1	30.09056	29.49935	30.22619	29.67196	24.92139	24.47748	20.43042	20.50697	7.287950993	0.001059695
AT1G06550.1 | Symbols:  | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | chr1:2003834-2006564 REVERSE LENGTH=387	AT1G06550.1	AT1G06550.1	22.91578	22.68215	22.6888	21.85495	20.28744	21.92278	20.99045	19.03657	1.976109982	0.02297677
"AT1G06680.2 | Symbols: PSBP-1, OEE2, PSII-P | photosystem II subunit P-1 | chr1:2048076-2049186 FORWARD LENGTH=219;AT1G06680.1 | Symbols: PSBP-1, OEE2, PSII-P, OE23 | photosystem II subunit P-1 | chr1:2047940-2049186 FORWARD LENGTH=263"	AT1G06680.2;AT1G06680.1;AT2G30790.1	AT1G06680.2;AT1G06680.1	25.6563	25.47846	25.65712	25.66186	26.82772	26.67654	26.96157	26.83425	-1.211583614	3.22E-06
AT1G06700.2 | Symbols:  | Protein kinase superfamily protein | chr1:2052750-2054552 REVERSE LENGTH=361;AT1G06700.1 | Symbols:  | Protein kinase superfamily protein | chr1:2052750-2054552 REVERSE LENGTH=361	AT1G06700.2;AT1G06700.1;AT2G41970.1;AT1G48220.1	AT1G06700.2;AT1G06700.1	24.38054	24.28954	24.18971	24.49838	18.88554	19.7617	19.98936	20.33908	4.595621586	6.71E-06
AT1G06890.3 | Symbols:  | nodulin MtN21 /EamA-like transporter family protein | chr1:2111585-2114038 REVERSE LENGTH=353;AT1G06890.2 | Symbols:  | nodulin MtN21 /EamA-like transporter family protein | chr1:2111728-2114038 REVERSE LENGTH=357;AT1G06890.1 | Sy	AT1G06890.3;AT1G06890.2;AT1G06890.1	AT1G06890.3;AT1G06890.2;AT1G06890.1	22.99984	22.81601	22.76061	23.18019	18.79698	19.76276	19.02462	20.40669	3.441400051	9.96E-05
"AT1G06950.1 | Symbols: ATTIC110, TIC110 | translocon at the inner envelope membrane of chloroplasts 110 | chr1:2130303-2135563 REVERSE LENGTH=1016"	AT1G06950.1	AT1G06950.1	29.52826	29.21976	29.40771	29.51676	26.69883	26.21721	25.53961	27.32637	2.972617149	0.000245882
"AT1G07110.1 | Symbols: F2KP, ATF2KP, FKFBP | fructose-2,6-bisphosphatase | chr1:2178363-2183980 REVERSE LENGTH=744"	AT1G07110.1	AT1G07110.1	22.4801	22.3889	22.41214	21.73078	21.00798	21.05504	20.72634	22.99685	0.80643177	0.193251431
AT1G07320.4 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250173 FORWARD LENGTH=278;AT1G07320.3 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250026 FORWARD LENGTH=278;AT1G07320.2 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250	AT1G07320.4;AT1G07320.3;AT1G07320.2;AT1G07320.1	AT1G07320.4;AT1G07320.3;AT1G07320.2;AT1G07320.1	22.82065	23.47098	23.20127	23.49887	19.52877	23.05229	20.51498	20.3332	2.390632629	0.021916291
AT1G07360.1 | Symbols:  | CCCH-type zinc fingerfamily protein with RNA-binding domain | chr1:2260562-2262795 REVERSE LENGTH=481;AT2G29580.1 | Symbols:  | CCCH-type zinc fingerfamily protein with RNA-binding domain | chr2:12652011-12654158 FORWARD LENGTH=48	AT1G07360.1;AT2G29580.1;AT5G07060.2;AT5G07060.1	AT1G07360.1;AT2G29580.1	21.90962	22.79755	22.83067	24.06595	22.37106	19.16524	21.69074	23.2298	1.286737919	0.237470622
AT1G07400.1 | Symbols:  | HSP20-like chaperones superfamily protein | chr1:2275148-2275621 FORWARD LENGTH=157	AT1G07400.1	AT1G07400.1	23.85205	25.94336	24.67503	26.79017	20.60702	19.65976	20.97229	19.63899	5.09563446	0.000447173
AT1G07440.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:2286436-2287665 REVERSE LENGTH=266;AT1G07440.2 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:2286700-2287665 REVERSE LENGTH=207	AT1G07440.1;AT1G07440.2	AT1G07440.1;AT1G07440.2	23.73128	23.20631	22.48047	22.33843	19.79018	21.39645	19.79731	19.80763	2.741229057	0.001794609
AT1G07630.1 | Symbols: PLL5 | pol-like 5 | chr1:2349189-2351437 FORWARD LENGTH=662	AT1G07630.1	AT1G07630.1	20.07297	18.66581	19.821	20.86037	19.60804	19.56137	18.54493	18.49179	0.803506851	0.193448691
"AT1G07890.6 | Symbols: APX1, MEE6, CS1, ATAPX1, ATAPX01 | ascorbate peroxidase 1 | chr1:2438005-2439349 FORWARD LENGTH=249;AT1G07890.8 | Symbols: APX1, MEE6, CS1, ATAPX1, ATAPX01 | ascorbate peroxidase 1 | chr1:2438005-2439435 FORWARD LENGTH=250;AT1G07890."	AT1G07890.6;AT1G07890.8;AT1G07890.7;AT1G07890.5;AT1G07890.4;AT1G07890.3;AT1G07890.2;AT1G07890.1	AT1G07890.6;AT1G07890.8;AT1G07890.7;AT1G07890.5;AT1G07890.4;AT1G07890.3;AT1G07890.2;AT1G07890.1	25.82355	26.12808	25.7661	25.74476	27.63561	27.25674	27.15403	26.94815	-1.383010387	0.000181544
AT1G07990.1 | Symbols:  | SIT4 phosphatase-associated family protein | chr1:2477413-2482898 FORWARD LENGTH=802	AT1G07990.1	AT1G07990.1	21.92231	22.82371	21.85007	22.30279	19.22391	19.30866	21.22674	19.58583	2.388432503	0.003722566
AT1G08050.1 | Symbols:  | Zinc finger (C3HC4-type RING finger) family protein | chr1:2499088-2501311 REVERSE LENGTH=641	AT1G08050.1	AT1G08050.1	26.12508	26.85055	26.62031	27.18404	26.72819	26.32793	26.18084	26.08545	0.36439085	0.216244497
"AT1G08190.1 | Symbols: ATVPS41, ZIP2, VPS41, ATVAM2, VAM2 | vacuolar protein sorting 41 | chr1:2567652-2573142 FORWARD LENGTH=980"	AT1G08190.1	AT1G08190.1	23.98763	23.91442	24.22251	23.98945	20.49611	21.20837	19.82628	20.7166	3.466664791	2.27E-05
AT1G08200.1 | Symbols: AXS2 | UDP-D-apiose/UDP-D-xylose synthase 2 | chr1:2574259-2576609 REVERSE LENGTH=389;AT2G27860.1 | Symbols: AXS1 | UDP-D-apiose/UDP-D-xylose synthase 1 | chr2:11864684-11866843 REVERSE LENGTH=389	AT1G08200.1;AT2G27860.1	AT1G08200.1;AT2G27860.1	24.18835	23.91561	24.29509	24.26742	23.22634	23.59764	20.4681	19.8029	2.392874718	0.047403298
AT1G08360.1 | Symbols:  | Ribosomal protein L1p/L10e family | chr1:2636231-2637694 FORWARD LENGTH=216	AT1G08360.1	AT1G08360.1	24.7452	24.8225	24.5131	24.25357	19.81322	19.43786	20.22826	19.23053	4.906126022	1.26E-06
AT1G08380.1 | Symbols: PSAO | photosystem I subunit O | chr1:2641004-2641739 REVERSE LENGTH=140	AT1G08380.1	AT1G08380.1	20.86314	24.29362	23.69051	22.75538	20.22262	19.61059	18.97537	21.38717	2.851724625	0.020087129
"AT1G08450.2 | Symbols: CRT3, PSL1, EBS2, AtCRT3 | calreticulin 3 | chr1:2668008-2671800 REVERSE LENGTH=370;AT1G08450.1 | Symbols: CRT3, PSL1, EBS2, AtCRT3 | calreticulin 3 | chr1:2668008-2671800 REVERSE LENGTH=424;AT1G08450.3 | Symbols: CRT3 | calreticulin"	AT1G08450.2;AT1G08450.1;AT1G08450.3	AT1G08450.2;AT1G08450.1;AT1G08450.3	23.54097	23.8607	23.66123	23.54981	24.56104	24.29425	24.73578	24.83615	-0.953628063	0.000492106
"AT1G08480.1 | Symbols:  | unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: mitochondrion, plasma membrane, plastid, vacuole;EXPRESSED IN: 27 plant structures;EXPRESSED DURING: 15 growth stage"	AT1G08480.1	AT1G08480.1	24.31237	24.12202	24.16423	24.44449	19.96635	23.10199	21.26149	22.93157	2.445427895	0.016934673
"AT1G08520.1 | Symbols: ALB1, ALB-1V, V157, PDE166, CHLD | ALBINA 1 | chr1:2696538-2700819 FORWARD LENGTH=760"	AT1G08520.1	AT1G08520.1	24.72588	24.51887	25.19269	25.75728	23.74807	23.37928	23.39611	24.37444	1.324204922	0.010388083
AT1G08930.2 | Symbols: ERD6 | Major facilitator superfamily protein | chr1:2873604-2876979 FORWARD LENGTH=496;AT1G08930.1 | Symbols: ERD6 | Major facilitator superfamily protein | chr1:2873604-2876979 FORWARD LENGTH=496	AT1G08930.2;AT1G08930.1	AT1G08930.2;AT1G08930.1	23.85643	23.88548	23.42701	23.61189	20.59031	21.61486	19.31389	19.60909	3.413164139	0.000680162
AT1G08940.1 | Symbols:  | Phosphoglycerate mutase family protein | chr1:2877694-2879104 FORWARD LENGTH=281	AT1G08940.1	AT1G08940.1	21.99945	22.68661	21.72342	21.86022	19.44525	21.22019	21.50574	21.31172	1.196700573	0.062658578
AT1G09080.2 | Symbols: BIP3 | Heat shock protein 70 (Hsp 70) family protein | chr1:2929268-2931804 REVERSE LENGTH=665;AT1G09080.1 | Symbols: BIP3 | Heat shock protein 70 (Hsp 70) family protein | chr1:2929268-2931804 REVERSE LENGTH=675	AT1G09080.2;AT1G09080.1	AT1G09080.2;AT1G09080.1	18.60865	19.23386	19.29456	21.11883	29.05781	28.88364	29.73182	29.62309	-9.760113239	2.80E-06
AT1G09130.2 | Symbols:  | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | chr1:2940063-2942217 REVERSE LENGTH=330;AT1G09130.1 | Symbols:  | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | chr1:2940063-2942217 REVER	AT1G09130.2;AT1G09130.1;AT1G09130.3	AT1G09130.2;AT1G09130.1;AT1G09130.3	26.7898	26.58162	26.75824	26.59776	25.37073	25.04814	24.53564	24.96834	1.701142788	8.03E-05
"AT1G09310.1 | Symbols:  | Protein of unknown function, DUF538 | chr1:3009109-3009648 FORWARD LENGTH=179"	AT1G09310.1	AT1G09310.1	22.81669	22.44301	23.65818	22.18698	19.43728	20.11313	22.14439	19.68019	2.432469845	0.012821852
"AT1G09340.1 | Symbols: CRB, CSP41B, HIP1.3 | chloroplast RNA binding | chr1:3015473-3018035 FORWARD LENGTH=378"	AT1G09340.1	AT1G09340.1	30.01877	30.14151	29.48495	29.08251	30.29242	29.62873	29.30709	29.25899	0.060129166	0.866206157
AT1G09430.1 | Symbols: ACLA-3 | ATP-citrate lyase A-3 | chr1:3042135-3044978 FORWARD LENGTH=424	AT1G09430.1	AT1G09430.1	23.66243	22.52917	23.0434	22.11943	22.23567	18.89631	22.30165	18.53947	2.345331669	0.072983061
AT1G09620.1 | Symbols:  | ATP binding;leucine-tRNA ligases;aminoacyl-tRNA ligases;nucleotide binding;ATP binding;aminoacyl-tRNA ligases | chr1:3113077-3116455 REVERSE LENGTH=1091	AT1G09620.1	AT1G09620.1	24.30187	23.9943	23.99929	22.89946	23.98076	22.98569	23.2219	23.8189	0.296915054	0.474129521
"AT1G09630.1 | Symbols: ATRAB11C, ATRABA2A, ATRAB-A2A, RAB-A2A, RAB11c | RAB GTPase 11C | chr1:3118350-3119571 REVERSE LENGTH=217;AT1G07410.1 | Symbols: ATRABA2B, RAB-A2B, ATRAB-A2B, RABA2b | RAB GTPase homolog A2B | chr1:2276270-2277154 FORWARD LENGTH=214;"	AT1G09630.1;AT1G07410.1;AT4G18800.1;AT5G45750.1;AT1G16920.1;AT5G59150.1;AT3G46830.1;AT5G60860.1;AT3G15060.1	AT1G09630.1;AT1G07410.1;AT4G18800.1;AT5G45750.1;AT1G16920.1;AT5G59150.1;AT3G46830.1;AT5G60860.1;AT3G15060.1	22.3645	22.39511	22.68055	22.60872	20.1635	19.69608	20.37725	20.55668	2.313840389	2.62E-05
"AT1G09640.1 | Symbols:  | Translation elongation factor EF1B, gamma chain | chr1:3120162-3122152 FORWARD LENGTH=414"	AT1G09640.1;AT1G09640.2	AT1G09640.1	23.05069	22.99357	22.57656	23.07009	24.09628	22.91836	23.28658	21.01158	0.09452486	0.891443576
AT1G09750.1 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:3157541-3158960 FORWARD LENGTH=449	AT1G09750.1	AT1G09750.1	27.07071	27.00002	27.22398	27.48631	30.82297	30.66628	32.33684	29.72413	-3.692298889	0.000537301
"AT1G09780.1 | Symbols:  | Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent | chr1:3165550-3167812 REVERSE LENGTH=557"	AT1G09780.1;AT3G08590.2;AT3G08590.1	AT1G09780.1	25.54401	25.56503	25.35121	25.25436	26.13632	25.64436	24.55256	25.09804	0.070831776	0.846431515
"AT1G09795.1 | Symbols: ATATP-PRT2, HISN1B, ATP-PRT2 | ATP phosphoribosyl transferase 2 | chr1:3173588-3176690 FORWARD LENGTH=413;AT1G58080.1 | Symbols: ATATP-PRT1, HISN1A, ATP-PRT1 | ATP phosphoribosyl transferase 1 | chr1:21504562-21507429 REVERSE LENGTH="	AT1G09795.1;AT1G58080.1	AT1G09795.1;AT1G58080.1	22.62484	19.74632	22.6907	20.30155	19.89309	19.34945	19.17777	20.1044	1.709675789	0.07632275
